TAAK_TAAKID,TAAK_OMSCHRIJVING,AUFNR,VARIANTID
9659_ASAP,Inzichtelijk maken kosten,101000076204,33
9659_ASAP,Inzichtelijk maken kosten,101000076370,32
9659_ASAP,Inzichtelijk maken kosten,101000076371,32
9659_ASAP,Inzichtelijk maken kosten,101000076457,34
9659_ASAP,Inzichtelijk maken kosten,101000076515,19
9659_ASAP,Inzichtelijk maken kosten,101000076827,46
9659_ASAP,Inzichtelijk maken kosten,101000077014,19
9659_ASAP,Inzichtelijk maken kosten,101000077187,19
9659_ASAP,Inzichtelijk maken kosten,101000077577,19
9659_ASAP,Inzichtelijk maken kosten,101000077906,32
9659_ASAP,Inzichtelijk maken kosten,101000077907,32
9659_ASAP,Inzichtelijk maken kosten,101000077913,32
9659_ASAP,Inzichtelijk maken kosten,101000077922,32
9659_ASAP,Inzichtelijk maken kosten,101000077927,32
9659_ASAP,Inzichtelijk maken kosten,101000077928,32
9659_ASAP,Inzichtelijk maken kosten,101000077929,32
9659_ASAP,Inzichtelijk maken kosten,101000077930,32
9659_ASAP,Inzichtelijk maken kosten,101000077934,32
9659_ASAP,Inzichtelijk maken kosten,101000078017,32
9659_ASAP,Inzichtelijk maken kosten,101000078028,32
9659_ASAP,Inzichtelijk maken kosten,101000078030,32
9659_ASAP,Inzichtelijk maken kosten,101000078032,32
9659_ASAP,Inzichtelijk maken kosten,101000078034,32
9659_ASAP,Inzichtelijk maken kosten,101000078041,32
9659_ASAP,Inzichtelijk maken kosten,101000078054,32
9659_ASAP,Inzichtelijk maken kosten,101000078068,19
9659_ASAP,Inzichtelijk maken kosten,101000078204,46
9659_ASAP,Inzichtelijk maken kosten,101000078224,32
9659_ASAP,Inzichtelijk maken kosten,101000078338,33
9659_ASAP,Inzichtelijk maken kosten,101000078530,32
9659_ASAP,Inzichtelijk maken kosten,101000079366,34
9659_ASAP,Inzichtelijk maken kosten,101000079401,46
9659_ASAP,Inzichtelijk maken kosten,101000079490,19
9659_ASAP,Inzichtelijk maken kosten,101000079559,19
9659_ASAP,Inzichtelijk maken kosten,101000079674,32
9659_ASAP,Inzichtelijk maken kosten,101000079698,19
9659_ASAP,Inzichtelijk maken kosten,101000079747,32
9659_ASAP,Inzichtelijk maken kosten,101000079986,19
9659_ASAP,Inzichtelijk maken kosten,101000080250,19
9659_ASAP,Inzichtelijk maken kosten,101000080612,34
9659_ASAP,Inzichtelijk maken kosten,101000080670,34
9659_ASAP,Inzichtelijk maken kosten,101000080740,34
9659_ASAP,Inzichtelijk maken kosten,101000080760,19
9659_ASAP,Inzichtelijk maken kosten,101000080816,32
9659_ASAP,Inzichtelijk maken kosten,101000081084,33
9659_ASAP,Inzichtelijk maken kosten,101000081262,34
9659_ASAP,Inzichtelijk maken kosten,101000081362,19
9659_ASAP,Inzichtelijk maken kosten,101000081605,19
9659_ASAP,Inzichtelijk maken kosten,101000081758,19
9659_ASAP,Inzichtelijk maken kosten,101000081804,34
9659_ASAP,Inzichtelijk maken kosten,101000081988,19
9659_ASAP,Inzichtelijk maken kosten,101000082566,46
9659_ASAP,Inzichtelijk maken kosten,101000082595,46
9659_ASAP,Inzichtelijk maken kosten,101000082689,33
9659_ASAP,Inzichtelijk maken kosten,101000082722,33
9659_ASAP,Inzichtelijk maken kosten,101000082784,32
9659_ASAP,Inzichtelijk maken kosten,101000083035,19
9659_ASAP,Inzichtelijk maken kosten,101000083092,46
9659_ASAP,Inzichtelijk maken kosten,101000083202,32
9659_ASAP,Inzichtelijk maken kosten,101000083365,33
9659_ASAP,Inzichtelijk maken kosten,101000083438,33
9659_ASAP,Inzichtelijk maken kosten,101000083448,32
9659_ASAP,Inzichtelijk maken kosten,101000083657,32
9659_ASAP,Inzichtelijk maken kosten,101000083716,19
9659_ASAP,Inzichtelijk maken kosten,101000083975,46
9659_ASAP,Inzichtelijk maken kosten,101000084044,19
9659_ASAP,Inzichtelijk maken kosten,101000084252,19
9659_ASAP,Inzichtelijk maken kosten,101000084496,19
9659_ASAP,Inzichtelijk maken kosten,101000084518,19
9659_ASAP,Inzichtelijk maken kosten,101000084544,46
9659_ASAP,Inzichtelijk maken kosten,101000084546,46
9659_ASAP,Inzichtelijk maken kosten,101000084624,46
9659_ASAP,Inzichtelijk maken kosten,101000084628,46
9659_ASAP,Inzichtelijk maken kosten,101000084650,19
9659_ASAP,Inzichtelijk maken kosten,101000085217,32
9659_ASAP,Inzichtelijk maken kosten,101000085526,19
9659_ASAP,Inzichtelijk maken kosten,101000085666,46
9659_ASAP,Inzichtelijk maken kosten,101000085738,46
9659_ASAP,Inzichtelijk maken kosten,101000085909,19
9659_ASAP,Inzichtelijk maken kosten,101000085971,19
9659_ASAP,Inzichtelijk maken kosten,101000086218,19
9659_ASAP,Inzichtelijk maken kosten,101000087488,19
9659_ASAP,Inzichtelijk maken kosten,101000087673,32
9659_ASAP,Inzichtelijk maken kosten,101000088222,19
9659_ASAP,Inzichtelijk maken kosten,101000088579,33
9659_ASAP,Inzichtelijk maken kosten,101000088676,19
9659_ASAP,Inzichtelijk maken kosten,101000088969,46
9659_ASAP,Inzichtelijk maken kosten,101000089048,34
9659_ASAP,Inzichtelijk maken kosten,101000089181,34
9659_ASAP,Inzichtelijk maken kosten,101000089222,32
9659_ASAP,Inzichtelijk maken kosten,101000089599,32
9659_ASAP,Inzichtelijk maken kosten,101000089669,32
9659_ASAP,Inzichtelijk maken kosten,101000089675,32
9659_ASAP,Inzichtelijk maken kosten,101000089729,32
9659_ASAP,Inzichtelijk maken kosten,101000089762,19
9659_ASAP,Inzichtelijk maken kosten,101000089783,19
9659_ASAP,Inzichtelijk maken kosten,101000089798,32
9659_ASAP,Inzichtelijk maken kosten,101000089996,32
