PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE;VESTIGING
101000203978;PD226114;762728;X;2935 LA;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S03
101000204056;PD226116;863277;X;3295 TE;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S01
101000203979;PD226117;863277;X;3202 LC;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S01
101000203980;PD226115;863277;X;3381 LV;ov_minderdan_10_aansluitingen;KA1;E;PROCES;S01
101000204113;PD226120;862107;X;2935 SG;verzwaren_zekeringwissel;KA1;E;PROCES;S03
000031019528;PD226130;504464;;3626 AA;;N06;E;PROJECT;S05
101000204058;PD226119;749620;;2042 LV;VERPLAATS;KA1;G;PROCES;S02
101000203665;PD225742;504431;;3193 GR;sloop_enkelvoudig_primair;KA1;E;PROCES;S01
101000202777;PD224830;604249;;3811 NB;elektrisch_vervoer_proces_groen;KA1;E;PROCES;S05
101000203661;PD225737;504431;;3351 BX;aanleg_laagbouw_oranje;KA1;E;PROCES;S01
000031017123;PD194968;766213;;2954 BP;;N01;E;PROJECT;S01
101000202913;PD224828;604249;;3824 EG;elektrisch_vervoer_proces_oranje;KA1;E;PROCES;S05
101000204051;PD226104;503950;;3604 AB;verplaatsen_laagbouw_oranje;KA1;E;PROCES;S05
101000203885;PD226016;504015;;3904 BV;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000203985;PD226133;603329;X;3078 NG;aardgasloos_renoveren_hoogbouw_bo_stop;KA1;G;PROCES;S01
101000203946;PD226001;504015;;3481 GT;aardgasloos_renoveren_laagbouw_6_uur;KA1;G;PROCES;S05
101000204119;PD226136;504250;X;3513 CA;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000204062;PD226137;603329;X;3192 HD;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S01
101000204021;PD226013;504015;;3707 GD;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000202541;PD224387;503343;;3122 BH;wb_>5_aanleg_e_t/m_1750kva_hoogbouw_incl._net;KA1;E;PROJECT;S03
101000203836;PD225838;504382;;2552 GN;combi_laagbouw_groen;KA1;G;PROCES;S03
101000203702;PD225599;503400;X;4132 AE;verzwaren_vervangen_aansluitkast;KA1;E;PROCES;S01
000031019386;PD224332;503343;;3132 JL;;K15;E;PROJECT;S03
101000203786;PD225916;504015;;3607 EH;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000174406;PD195866;501717;;2901 AM;wb_>5_aanleg_e_t/m_1750kva_laagbouw_incl._net;KA1;E;PROJECT;S03
101000202888;PD224893;501686;;3034 PV;wb_>5_verwijderen_gas_t/m_g25_kvb_hoogbouw_incl._net;KA1;G;PROJECT;S03
101000203988;PD226145;501108;X;2625 GX;COR;KA1;E;PROCES;S03
101000203990;PD226149;504250;X;2741 TJ;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000203991;PD226152;862107;X;3146 SH;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
000031018853;PD217277;602973;;3238 AJ;;K15;E;PROJECT;S01
101000204036;PD226060;504015;;3831 AN;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S05
